Suburbs,Sentiment
AVONDALE HEIGHTS,"{'pos': 33, 'neg': 23}"
MOORABBIN,"{'pos': 26, 'neg': 11}"
CANTERBURY,"{'neg': 5, 'pos': 8}"
ATTWOOD,"{'neg': 8, 'pos': 16}"
WYNDHAM VALE,"{'pos': 35, 'neg': 8}"
DERRIMUT,"{'pos': 31, 'neg': 16}"
KALORAMA,{'pos': 2}
COBBLEBANK,{'pos': 3}
ELSTERNWICK,"{'pos': 29, 'neg': 8}"
GLEN HUNTLY,"{'neg': 7, 'pos': 7}"
KEILOR LODGE,{'neg': 2}
NOBLE PARK NORTH,"{'pos': 14, 'neg': 2}"
ABERFELDIE,"{'neg': 4, 'pos': 10}"
HEIDELBERG WEST,"{'pos': 9, 'neg': 5}"
OAKLEIGH EAST,"{'pos': 30, 'neg': 11}"
RINGWOOD EAST,"{'pos': 19, 'neg': 15}"
LOWER PLENTY,"{'pos': 9, 'neg': 5}"
CAULFIELD SOUTH,"{'pos': 28, 'neg': 6}"
BURNLEY,"{'pos': 15, 'neg': 3}"
SANDRINGHAM,"{'pos': 15, 'neg': 5}"
PARK ORCHARDS,"{'pos': 51, 'neg': 8}"
CRANBOURNE SOUTH,{'pos': 2}
YARRAMBAT,"{'pos': 5, 'neg': 2}"
TEMPLESTOWE LOWER,"{'pos': 14, 'neg': 11}"
STRATHMORE HEIGHTS,"{'pos': 2, 'neg': 2}"
ORMOND,"{'pos': 29, 'neg': 13}"
WOORI YALLOCK,"{'pos': 119, 'neg': 12}"
CLYDE NORTH,"{'pos': 2, 'neg': 2}"
RINGWOOD NORTH,"{'neg': 3, 'pos': 11}"
BELGRAVE,"{'pos': 46, 'neg': 53}"
CLIFTON SPRINGS,"{'pos': 7, 'neg': 3}"
MOUNT EVELYN,"{'pos': 12, 'neg': 4}"
THE BASIN,{'pos': 3}
SOMERTON,"{'pos': 9, 'neg': 1}"
DEVON MEADOWS,"{'pos': 9, 'neg': 2}"
PARKDALE,"{'neg': 8, 'pos': 12}"
HUGHESDALE,"{'pos': 11, 'neg': 2}"
PENTLAND HILLS,{'neg': 1}
PLENTY,"{'pos': 3, 'neg': 2}"
GOWANBRAE,"{'pos': 26, 'neg': 7}"
KINGSBURY,"{'pos': 10, 'neg': 8}"
WILLIAMS LANDING,"{'pos': 7, 'neg': 4}"
SANDHURST,"{'pos': 24, 'neg': 21}"
BRIAR HILL,"{'pos': 5, 'neg': 2}"
LYSTERFIELD,"{'pos': 23, 'neg': 2}"
SEAHOLME,"{'pos': 5, 'neg': 3}"
LITTLE RIVER,"{'pos': 6, 'neg': 2}"
HEALESVILLE,"{'neg': 1, 'pos': 11}"
KINGS PARK,"{'neg': 7, 'pos': 17}"
ASPENDALE,"{'neg': 7, 'pos': 4}"
BACCHUS MARSH,"{'pos': 6, 'neg': 2}"
HARKNESS,"{'pos': 7, 'neg': 11}"
MERRIMU,"{'pos': 2, 'neg': 4}"
YARRA GLEN,"{'pos': 13, 'neg': 5}"
OLINDA,"{'pos': 4, 'neg': 1}"
MEADOW HEIGHTS,"{'pos': 14, 'neg': 2}"
EDEN PARK,{'pos': 1}
MONT ALBERT,"{'pos': 5, 'neg': 1}"
CHELSEA HEIGHTS,"{'pos': 33, 'neg': 21}"
HEATHMONT,"{'neg': 3, 'pos': 3}"
DEANSIDE,{'pos': 1}
ST HELENA,{'pos': 2}
KURUNJANG,"{'pos': 9, 'neg': 4}"
MORDIALLOC,"{'neg': 3, 'pos': 5}"
MONTMORENCY,"{'pos': 24, 'neg': 10}"
COOLAROO,"{'pos': 10, 'neg': 4}"
EUMEMMERRING,{'pos': 1}
NEW GISBORNE,{'pos': 1}
MACCLESFIELD,"{'pos': 1, 'neg': 1}"
EYNESBURY,"{'pos': 3, 'neg': 2}"
DARLEY,"{'pos': 5, 'neg': 2}"
HEIDELBERG HEIGHTS,"{'pos': 8, 'neg': 2}"
MOORABBIN AIRPORT,"{'neg': 3, 'pos': 1}"
CLARINDA,"{'pos': 10, 'neg': 3}"
ASHBURTON,"{'pos': 7, 'neg': 7}"
SEABROOK,"{'neg': 1, 'pos': 2}"
MONTROSE,"{'pos': 3, 'neg': 1}"
SOMERVILLE,"{'pos': 25, 'neg': 12}"
KOOYONG,"{'pos': 6, 'neg': 1}"
TARRAWARRA,{'pos': 1}
KINGLAKE,{'pos': 1}
CLYDE,{'pos': 3}
CROYDON SOUTH,"{'neg': 2, 'pos': 1}"
CRANBOURNE EAST,"{'pos': 10, 'neg': 4}"
CORIO,{'pos': 1}
WATSONIA NORTH,"{'neg': 1, 'pos': 4}"
LYNDHURST,{'pos': 3}
TRAVANCORE,"{'neg': 10, 'pos': 11}"
CHADSTONE,"{'pos': 8, 'neg': 1}"
SKYE,"{'pos': 7, 'neg': 5}"
WARRANDYTE SOUTH,{'pos': 1}
HAMPTON EAST,"{'neg': 4, 'pos': 7}"
ESSENDON WEST,"{'neg': 2, 'pos': 2}"
YALLAMBIE,"{'pos': 4, 'neg': 1}"
GISBORNE SOUTH,{'pos': 2}
BEVERIDGE,"{'pos': 4, 'neg': 2}"
CAULFIELD,"{'neg': 1, 'pos': 6}"
EDITHVALE,"{'pos': 10, 'neg': 2}"
ESSENDON NORTH,"{'pos': 7, 'neg': 2}"
DALLAS,"{'neg': 5, 'pos': 4}"
MONT ALBERT NORTH,"{'pos': 2, 'neg': 1}"
ROCKBANK,"{'pos': 1, 'neg': 3}"
WANDIN EAST,{'pos': 1}
WATERWAYS,"{'pos': 2, 'neg': 1}"
CALDER PARK,{'pos': 3}
WONGA PARK,"{'pos': 1, 'neg': 1}"
DEEPDENE,{'neg': 1}
MONBULK,{'neg': 1}
GRUYERE,{'pos': 1}
KEILOR PARK,"{'pos': 5, 'neg': 3}"
WATTLE GLEN,"{'pos': 1, 'neg': 4}"
DANDENONG SOUTH,{'pos': 3}
BELGRAVE HEIGHTS,{'pos': 3}
YELLINGBO,{'pos': 1}
SHERBROOKE,"{'pos': 1, 'neg': 1}"
DRYSDALE,"{'neg': 4, 'pos': 5}"
KILSYTH SOUTH,{'pos': 2}
