Suburbs,Sentiment,scores,log_scores
ENDEAVOUR HILLS,"{'pos': 20, 'neg': 12}",1.6153846153846154,0.4795730802618863
WEST FOOTSCRAY,"{'pos': 38, 'neg': 15}",2.4375,0.8909729238898652
SPRINGVALE,"{'neg': 14, 'pos': 19}",1.3333333333333333,0.28768207245178085
KNOXFIELD,"{'neg': 10, 'pos': 21}",2.0,0.6931471805599453
COBURG,"{'neg': 44, 'pos': 77}",1.7333333333333334,0.550046336919272
SPRINGVALE SOUTH,"{'pos': 18, 'neg': 9}",1.9,0.6418538861723947
OFFICER,"{'pos': 9, 'neg': 2}",3.3333333333333335,1.2039728043259361
ELWOOD,"{'pos': 73, 'neg': 42}",1.7209302325581395,0.5428649775106072
VIEWBANK,"{'pos': 13, 'neg': 2}",4.666666666666667,1.540445040947149
DANDENONG,"{'pos': 220, 'neg': 122}",1.7967479674796747,0.5859783461453353
FRASER RISE,"{'pos': 6, 'neg': 1}",3.5,1.252762968495368
MILL PARK,"{'neg': 34, 'pos': 116}",3.342857142857143,1.2068258733083426
RIDDELLS CREEK,"{'pos': 13, 'neg': 12}",1.0769230769230769,0.07410797215372183
BULLEEN,"{'pos': 85, 'neg': 33}",2.5294117647058822,0.9279867716373463
ST KILDA EAST,"{'neg': 30, 'pos': 72}",2.3548387096774195,0.8564722366632449
WATSONIA,"{'pos': 16, 'neg': 6}",2.4285714285714284,0.8873031950009027
FRANKSTON SOUTH,"{'neg': 85, 'pos': 145}",1.697674418604651,0.5292593254548287
HALLAM,"{'neg': 31, 'pos': 60}",1.90625,0.6451379613735847
ESSENDON,"{'neg': 24, 'pos': 43}",1.76,0.5653138090500605
DELAHEY,"{'neg': 9, 'pos': 11}",1.2,0.1823215567939546
PANTON HILL,"{'pos': 5, 'neg': 4}",1.2,0.1823215567939546
RAVENHALL,"{'pos': 6, 'neg': 1}",3.5,1.252762968495368
WOLLERT,"{'pos': 60, 'neg': 25}",2.3461538461538463,0.8527773261518292
WHITTLESEA,"{'pos': 10, 'neg': 4}",2.2,0.7884573603642703
BROOKFIELD,"{'neg': 23, 'pos': 25}",1.0833333333333333,0.08004270767353636
PASCOE VALE SOUTH,"{'pos': 30, 'neg': 9}",3.1,1.1314021114911006
ALBANVALE,"{'neg': 9, 'pos': 19}",2.0,0.6931471805599453
CRANBOURNE,"{'pos': 45, 'neg': 18}",2.4210526315789473,0.8842024173226545
HURSTBRIDGE,"{'pos': 10, 'neg': 2}",3.6666666666666665,1.2992829841302609
LALOR,"{'neg': 18, 'pos': 64}",3.4210526315789473,1.2299482907291965
ALBION,"{'pos': 8, 'neg': 2}",3.0,1.0986122886681098
DINGLEY VILLAGE,"{'neg': 5, 'pos': 20}",3.5,1.252762968495368
BORONIA,"{'pos': 31, 'neg': 8}",3.5555555555555554,1.2685113254635072
NUNAWADING,"{'neg': 1, 'pos': 12}",6.5,1.8718021769015913
MELTON WEST,"{'pos': 14, 'neg': 2}",5.0,1.6094379124341003
AVALON,"{'pos': 8, 'neg': 1}",4.5,1.5040773967762742
FOOTSCRAY,"{'pos': 100, 'neg': 37}",2.6578947368421053,0.9775343571148737
BERWICK,"{'pos': 87, 'neg': 54}",1.6,0.47000362924573563
CAULFIELD EAST,"{'pos': 21, 'neg': 11}",1.8333333333333333,0.6061358035703155
BEACONSFIELD,"{'pos': 8, 'neg': 3}",2.25,0.8109302162163288
ABBOTSFORD,"{'pos': 74, 'neg': 21}",3.409090909090909,1.2264456601779945
MACLEOD,"{'neg': 50, 'pos': 96}",1.9019607843137254,0.642885345779057
RESEARCH,"{'neg': 2, 'pos': 2}",1.0,0.0
HADFIELD,"{'neg': 5, 'pos': 14}",2.5,0.9162907318741551
KEW EAST,"{'pos': 19, 'neg': 5}",3.3333333333333335,1.2039728043259361
WANTIRNA,"{'pos': 53, 'neg': 21}",2.4545454545454546,0.8979415932059586
RIPPONLEA,"{'pos': 10, 'neg': 1}",5.5,1.7047480922384253
UPPER FERNTREE GULLY,"{'pos': 19, 'neg': 10}",1.8181818181818181,0.5978370007556204
BONBEACH,"{'neg': 25, 'pos': 61}",2.3846153846153846,0.8690378470236095
AIRPORT WEST,"{'neg': 4, 'pos': 10}",2.2,0.7884573603642703
BELLFIELD,"{'pos': 6, 'neg': 4}",1.4,0.3364722366212129
MOONEE PONDS,"{'neg': 49, 'pos': 106}",2.14,0.7608058290337602
EAGLEMONT,"{'neg': 24, 'pos': 71}",2.88,1.0577902941478545
CROYDON,"{'pos': 29, 'neg': 12}",2.3076923076923075,0.8362480242006185
BALACLAVA,"{'pos': 28, 'neg': 11}",2.4166666666666665,0.8823891801984737
MOOROOLBARK,"{'neg': 35, 'pos': 71}",2.0,0.6931471805599453
DONCASTER EAST,"{'pos': 49, 'neg': 21}",2.272727272727273,0.8209805520698303
GLENROY,"{'neg': 44, 'pos': 66}",1.488888888888889,0.3980301296206463
LYNBROOK,"{'pos': 15, 'neg': 5}",2.6666666666666665,0.9808292530117262
BLACKBURN SOUTH,"{'pos': 13, 'neg': 3}",3.5,1.252762968495368
WHEELERS HILL,"{'pos': 27, 'neg': 18}",1.4736842105263157,0.38776553100876343
BAYSWATER NORTH,"{'neg': 18, 'pos': 57}",3.0526315789473686,1.1160040313799788
CAMBERWELL,"{'neg': 27, 'pos': 38}",1.3928571428571428,0.33135713595444244
OAK PARK,"{'neg': 4, 'pos': 7}",1.6,0.47000362924573563
BENTLEIGH,"{'pos': 18, 'neg': 13}",1.3571428571428572,0.3053816495511819
CAROLINE SPRINGS,"{'pos': 121, 'neg': 49}",2.44,0.8919980393051105
WALLAN,"{'neg': 10, 'pos': 24}",2.272727272727273,0.8209805520698303
SUNSHINE,"{'pos': 42, 'neg': 17}",2.388888888888889,0.8708283577973978
STRATHMORE,"{'pos': 12, 'neg': 7}",1.625,0.4855078157817008
SOUTH WHARF,"{'pos': 42, 'neg': 9}",4.3,1.4586150226995167
MARIBYRNONG,"{'pos': 41, 'neg': 26}",1.5555555555555556,0.44183275227903923
GISBORNE,"{'neg': 21, 'pos': 27}",1.2727272727272727,0.24116205681688804
BENTLEIGH EAST,"{'pos': 44, 'neg': 14}",3.0,1.0986122886681098
CARRUM,"{'pos': 11, 'neg': 11}",1.0,0.0
NARRE WARREN NORTH,"{'pos': 14, 'neg': 7}",1.875,0.6286086594223741
WARRANWOOD,"{'pos': 18, 'neg': 11}",1.5833333333333333,0.45953232937844013
MIDDLE PARK,"{'neg': 3, 'pos': 15}",4.0,1.3862943611198906
BURNSIDE,"{'pos': 7, 'neg': 8}",0.8888888888888888,-0.11778303565638351
SCORESBY,"{'pos': 23, 'neg': 10}",2.1818181818181817,0.780158557549575
CRANBOURNE NORTH,"{'neg': 15, 'pos': 36}",2.3125,0.8383291904044432
BURWOOD,"{'pos': 88, 'neg': 36}",2.4054054054054053,0.8777184570879153
ALTONA MEADOWS,"{'pos': 16, 'neg': 8}",1.8888888888888888,0.6359887667199967
GLADSTONE PARK,"{'pos': 24, 'neg': 8}",2.7777777777777777,1.0216512475319812
SILVAN,"{'pos': 6, 'neg': 3}",1.75,0.5596157879354227
BOX HILL NORTH,"{'neg': 3, 'pos': 16}",4.25,1.4469189829363254
CARLTON NORTH,"{'pos': 46, 'neg': 14}",3.1333333333333333,1.1420974006078486
KEILOR DOWNS,"{'pos': 30, 'neg': 16}",1.8235294117647058,0.6007738604289301
KEILOR EAST,"{'neg': 15, 'pos': 27}",1.75,0.5596157879354227
NORTH WARRANDYTE,"{'pos': 4, 'neg': 0}",5.0,1.6094379124341003
ROSANNA,"{'pos': 5, 'neg': 1}",3.0,1.0986122886681098
MELTON SOUTH,"{'neg': 17, 'pos': 25}",1.4444444444444444,0.36772478012531734
ARMADALE,"{'neg': 31, 'pos': 41}",1.3125,0.27193371548364176
VERMONT SOUTH,"{'pos': 8, 'neg': 8}",1.0,0.0
OAKLEIGH SOUTH,"{'pos': 7, 'neg': 4}",1.6,0.47000362924573563
SEAFORD,"{'pos': 30, 'neg': 18}",1.631578947368421,0.4895482253187058
ST ALBANS,"{'pos': 36, 'neg': 14}",2.466666666666667,0.9028677115420144
TECOMA,"{'pos': 67, 'neg': 49}",1.36,0.3074846997479607
HEIDELBERG,"{'pos': 30, 'neg': 24}",1.24,0.2151113796169455
MOUNT ELIZA,"{'pos': 113, 'neg': 47}",2.375,0.8649974374866045
BURNSIDE HEIGHTS,"{'pos': 13, 'neg': 4}",2.8,1.0296194171811581
GREENVALE,"{'neg': 33, 'pos': 49}",1.4705882352941178,0.38566248081198473
SURREY HILLS,"{'pos': 27, 'neg': 15}",1.75,0.5596157879354227
MANOR LAKES,"{'neg': 21, 'pos': 23}",1.0909090909090908,0.0870113769896297
HAMPTON PARK,"{'neg': 16, 'pos': 27}",1.6470588235294117,0.4989911661189878
TAYLORS HILL,"{'pos': 61, 'neg': 30}",2.0,0.6931471805599453
CREMORNE,"{'neg': 3, 'pos': 16}",4.25,1.4469189829363254
VERMONT,"{'pos': 16, 'neg': 5}",2.8333333333333335,1.0414538748281612
GARDENVALE,"{'neg': 3, 'pos': 2}",0.75,-0.2876820724517809
BOTANIC RIDGE,"{'pos': 2, 'neg': 1}",1.5,0.4054651081081644
CROYDON NORTH,"{'neg': 11, 'pos': 21}",1.8333333333333333,0.6061358035703155
FLEMINGTON,"{'pos': 56, 'neg': 14}",3.8,1.33500106673234
SPOTSWOOD,"{'neg': 3, 'pos': 7}",2.0,0.6931471805599453
WILLIAMSTOWN NORTH,"{'pos': 8, 'neg': 5}",1.5,0.4054651081081644
LANGWARRIN,"{'pos': 29, 'neg': 10}",2.727272727272727,1.0033021088637848
PATTERSON LAKES,"{'pos': 7, 'neg': 0}",8.0,2.0794415416798357
FRANKSTON NORTH,"{'pos': 22, 'neg': 10}",2.090909090909091,0.7375989431307791
BALWYN,"{'pos': 18, 'neg': 6}",2.7142857142857144,0.9985288301111273
TRUGANINA,"{'neg': 20, 'pos': 40}",1.9523809523809523,0.6690496289808848
BLACK ROCK,"{'pos': 12, 'neg': 1}",6.5,1.8718021769015913
ELTHAM NORTH,"{'pos': 14, 'neg': 2}",5.0,1.6094379124341003
ASPENDALE GARDENS,"{'neg': 16, 'pos': 24}",1.4705882352941178,0.38566248081198473
MELTON,"{'neg': 8, 'pos': 20}",2.3333333333333335,0.8472978603872037
BOX HILL SOUTH,"{'pos': 5, 'neg': 2}",2.0,0.6931471805599453
KEALBA,"{'pos': 12, 'neg': 6}",1.8571428571428572,0.6190392084062235
KEILOR,"{'neg': 10, 'pos': 18}",1.7272727272727273,0.5465437063680699
AVONDALE HEIGHTS,"{'pos': 33, 'neg': 23}",1.4166666666666667,0.3483066942682158
MOORABBIN,"{'pos': 26, 'neg': 11}",2.25,0.8109302162163288
CANTERBURY,"{'neg': 5, 'pos': 8}",1.5,0.4054651081081644
ATTWOOD,"{'neg': 8, 'pos': 16}",1.8888888888888888,0.6359887667199967
WYNDHAM VALE,"{'pos': 35, 'neg': 8}",4.0,1.3862943611198906
DERRIMUT,"{'pos': 31, 'neg': 16}",1.8823529411764706,0.6325225587435105
KALORAMA,"{'pos': 2, 'neg': 0}",3.0,1.0986122886681098
COBBLEBANK,"{'pos': 3, 'neg': 0}",4.0,1.3862943611198906
ELSTERNWICK,"{'pos': 29, 'neg': 8}",3.3333333333333335,1.2039728043259361
GLEN HUNTLY,"{'neg': 7, 'pos': 7}",1.0,0.0
KEILOR LODGE,"{'neg': 2, 'pos': 0}",0.3333333333333333,-1.0986122886681098
NOBLE PARK NORTH,"{'pos': 14, 'neg': 2}",5.0,1.6094379124341003
ABERFELDIE,"{'neg': 4, 'pos': 10}",2.2,0.7884573603642703
HEIDELBERG WEST,"{'pos': 9, 'neg': 5}",1.6666666666666667,0.5108256237659907
OAKLEIGH EAST,"{'pos': 30, 'neg': 11}",2.5833333333333335,0.949080554697146
RINGWOOD EAST,"{'pos': 19, 'neg': 15}",1.25,0.22314355131420976
LOWER PLENTY,"{'pos': 9, 'neg': 5}",1.6666666666666667,0.5108256237659907
CAULFIELD SOUTH,"{'pos': 28, 'neg': 6}",4.142857142857143,1.421385680931161
BURNLEY,"{'pos': 15, 'neg': 3}",4.0,1.3862943611198906
SANDRINGHAM,"{'pos': 15, 'neg': 5}",2.6666666666666665,0.9808292530117262
PARK ORCHARDS,"{'pos': 51, 'neg': 8}",5.777777777777778,1.754019141245208
CRANBOURNE SOUTH,"{'pos': 2, 'neg': 0}",3.0,1.0986122886681098
YARRAMBAT,"{'pos': 5, 'neg': 2}",2.0,0.6931471805599453
TEMPLESTOWE LOWER,"{'pos': 14, 'neg': 11}",1.25,0.22314355131420976
STRATHMORE HEIGHTS,"{'pos': 2, 'neg': 2}",1.0,0.0
ORMOND,"{'pos': 29, 'neg': 13}",2.142857142857143,0.7621400520468967
WOORI YALLOCK,"{'pos': 119, 'neg': 12}",9.23076923076923,2.222542385320509
CLYDE NORTH,"{'pos': 2, 'neg': 2}",1.0,0.0
RINGWOOD NORTH,"{'neg': 3, 'pos': 11}",3.0,1.0986122886681098
BELGRAVE,"{'pos': 46, 'neg': 53}",0.8703703703703703,-0.1388364448542158
CLIFTON SPRINGS,"{'pos': 7, 'neg': 3}",2.0,0.6931471805599453
MOUNT EVELYN,"{'pos': 12, 'neg': 4}",2.6,0.9555114450274363
THE BASIN,"{'pos': 3, 'neg': 0}",4.0,1.3862943611198906
SOMERTON,"{'pos': 9, 'neg': 1}",5.0,1.6094379124341003
DEVON MEADOWS,"{'pos': 9, 'neg': 2}",3.3333333333333335,1.2039728043259361
PARKDALE,"{'neg': 8, 'pos': 12}",1.4444444444444444,0.36772478012531734
HUGHESDALE,"{'pos': 11, 'neg': 2}",4.0,1.3862943611198906
PENTLAND HILLS,"{'neg': 1, 'pos': 0}",0.5,-0.6931471805599453
PLENTY,"{'pos': 3, 'neg': 2}",1.3333333333333333,0.28768207245178085
GOWANBRAE,"{'pos': 26, 'neg': 7}",3.375,1.2163953243244932
KINGSBURY,"{'pos': 10, 'neg': 8}",1.2222222222222223,0.20067069546215124
WILLIAMS LANDING,"{'pos': 7, 'neg': 4}",1.6,0.47000362924573563
SANDHURST,"{'pos': 24, 'neg': 21}",1.1363636363636365,0.127833371509885
BRIAR HILL,"{'pos': 5, 'neg': 2}",2.0,0.6931471805599453
LYSTERFIELD,"{'pos': 23, 'neg': 2}",8.0,2.0794415416798357
SEAHOLME,"{'pos': 5, 'neg': 3}",1.5,0.4054651081081644
